Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
92	-26.635939	14.841287	-9.401003	-46.546326	974.0	0.27556908	5.6045814	11.225017	-15.846843	372000	1.6212464e-08	20.600718	-0.022962902	-19.590557	6.322438	0.0130742835	0.1515	79.0	487.1304347515106
93	-61.36946	36.587727	-13.459319	-107.49512	1000.0	-6.080816	3.6341302	-0.112163775	-11.577644	376000	2.2888184e-08	0.09607697	-0.015606541	-0.04749612	6.316615	0.010628165	0.148	79.0	492.68299651145935
94	-110.91853	73.01902	-42.08539	-233.74565	1000.0	-10.277912	7.4528646	4.1568866	-24.841013	380000	4.196167e-08	1.0505059	-0.011480423	-0.8255632	6.399085	0.014031585	0.134	10.0	497.7094073295593
95	-154.11246	58.433044	-55.873337	-205.64406	1000.0	-15.4581995	5.714584	-3.688822	-22.672293	384000	-1.9073486e-08	0.14511164	-0.005644964	-0.07417888	6.3979497	0.012595082	0.15	7.0	502.70016407966614
96	-226.85059	46.696026	-158.56679	-288.62827	1000.0	-22.417063	4.6530366	-14.934306	-29.595201	388000	1.9073486e-08	0.05460132	0.087556	-0.0432769	6.329358	0.22948219	0.749	1.0	507.6969711780548
97	-146.61192	93.49316	2.5313098	-252.72346	799.5	-16.026466	7.414008	4.935802	-25.884626	392000	9.536743e-09	1.0733292	0.03465356	-0.7806647	6.3575873	0.41839722	0.7385	1.0	512.5163161754608
98	-33.283104	62.328075	5.594992	-179.5877	524.5714	-6.4517393	7.0417833	7.3348403	-19.967155	396000	3.8146974e-09	2.9950325	0.0019629328	-2.790132	6.351963	0.04339271	0.21275	1.0	517.5399658679962
99	-38.100845	68.75404	8.657459	-190.33974	462.875	-3.6007333	5.610662	8.163809	-12.066792	400000	-5.2452087e-08	70.5562	-0.019712083	-64.051254	6.3946285	0.004625399	0.14175	79.0	522.6314628124237
100	-128.08179	77.88597	-45.925907	-252.40671	1000.0	-11.055848	6.3431425	-2.1869926	-22.332468	404000	1.9073486e-08	5.3035398	-0.015581912	-4.8754025	6.452761	0.0032991963	0.0945	79.0	528.5144107341766
101	-79.403175	99.55976	7.7809725	-218.69365	581.5	-12.929758	8.499387	9.739707	-28.472551	408000	2.8610229e-08	5.73213	-0.017692627	-3.7917266	6.471181	0.014944481	0.1355	34.0	533.6183326244354
102	-61.325237	50.455067	8.576667	-109.83774	797.75	-8.708429	5.0756955	8.3008795	-23.132786	412000	0.0	1.6580495	-0.021683395	-1.0701286	6.40946	0.0045314915	0.1325	79.0	539.0174419879913
